Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,224731,-,-,-,32.53,-117.06,-8,58,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,Temperature
2018,1,1,0,0,0,0,15
2018,1,1,0,30,0,0,14.9
2018,1,1,1,0,0,0,14.8
2018,1,1,1,30,0,0,14.700000000000001
2018,1,1,2,0,0,0,14.700000000000001
2018,1,1,2,30,0,0,14.600000000000001
2018,1,1,3,0,0,0,14.5
2018,1,1,3,30,0,0,14.3
2018,1,1,4,0,0,0,14.100000000000001
2018,1,1,4,30,0,0,13.9
2018,1,1,5,0,0,0,13.700000000000001
2018,1,1,5,30,0,0,13.5
2018,1,1,6,0,0,0,13.4
2018,1,1,6,30,0,0,13.8
2018,1,1,7,0,17,165,14.3
2018,1,1,7,30,81,395,15.8
2018,1,1,8,0,160,478,17.400000000000002
2018,1,1,8,30,222,411,18.400000000000002
2018,1,1,9,0,288,408,19.400000000000002
2018,1,1,9,30,383,645,20.3
2018,1,1,10,0,391,471,21.200000000000003
2018,1,1,10,30,398,352,21.6
2018,1,1,11,0,492,601,22
2018,1,1,11,30,529,654,22.3
2018,1,1,12,0,542,705,22.700000000000003
2018,1,1,12,30,468,458,22.6
2018,1,1,13,0,435,444,22.6
2018,1,1,13,30,508,865,21.900000000000002
2018,1,1,14,0,352,341,21.200000000000003
2018,1,1,14,30,299,315,20.400000000000002
2018,1,1,15,0,250,338,19.6
2018,1,1,15,30,144,89,18.6
2018,1,1,16,0,82,27,17.6
2018,1,1,16,30,29,3,17
2018,1,1,17,0,0,0,16.400000000000002
2018,1,1,17,30,0,0,16.1
2018,1,1,18,0,0,0,15.9
2018,1,1,18,30,0,0,15.700000000000001
2018,1,1,19,0,0,0,15.600000000000001
2018,1,1,19,30,0,0,15.5
2018,1,1,20,0,0,0,15.3
2018,1,1,20,30,0,0,15.100000000000001
2018,1,1,21,0,0,0,14.9
2018,1,1,21,30,0,0,14.8
2018,1,1,22,0,0,0,14.8
2018,1,1,22,30,0,0,14.9
2018,1,1,23,0,0,0,15.100000000000001
2018,1,1,23,30,0,0,15.100000000000001
2018,1,2,0,0,0,0,15
2018,1,2,0,30,0,0,14.9
2018,1,2,1,0,0,0,14.700000000000001
2018,1,2,1,30,0,0,14.8
2018,1,2,2,0,0,0,14.9
2018,1,2,2,30,0,0,14.8
2018,1,2,3,0,0,0,14.700000000000001
2018,1,2,3,30,0,0,14.600000000000001
2018,1,2,4,0,0,0,14.600000000000001
2018,1,2,4,30,0,0,14.4
2018,1,2,5,0,0,0,14.3
2018,1,2,5,30,0,0,14.100000000000001
2018,1,2,6,0,0,0,13.8
2018,1,2,6,30,0,0,14.200000000000001
2018,1,2,7,0,13,87,14.600000000000001
2018,1,2,7,30,84,435,16.400000000000002
2018,1,2,8,0,172,610,18.1
2018,1,2,8,30,262,716,19.5
2018,1,2,9,0,347,787,21
2018,1,2,9,30,423,837,22.400000000000002
2018,1,2,10,0,488,876,23.8
2018,1,2,10,30,539,897,24.700000000000003
2018,1,2,11,0,574,909,25.6
2018,1,2,11,30,594,915,26
2018,1,2,12,0,598,915,26.5
2018,1,2,12,30,586,910,26.6
2018,1,2,13,0,557,898,26.6
2018,1,2,13,30,514,879,26.400000000000002
2018,1,2,14,0,456,850,26.1
2018,1,2,14,30,384,807,25.1
2018,1,2,15,0,271,488,24.1
2018,1,2,15,30,159,104,22.400000000000002
2018,1,2,16,0,98,122,20.6
2018,1,2,16,30,39,159,20
2018,1,2,17,0,0,0,19.3
2018,1,2,17,30,0,0,19
2018,1,2,18,0,0,0,18.7
2018,1,2,18,30,0,0,18.6
2018,1,2,19,0,0,0,18.5
2018,1,2,19,30,0,0,18.3
2018,1,2,20,0,0,0,18.1
2018,1,2,20,30,0,0,17.900000000000002
2018,1,2,21,0,0,0,17.7
2018,1,2,21,30,0,0,17.5
2018,1,2,22,0,0,0,17.400000000000002
2018,1,2,22,30,0,0,17.400000000000002
2018,1,2,23,0,0,0,17.3
2018,1,2,23,30,0,0,17.400000000000002
2018,1,3,0,0,0,0,17.5
